item|skus|desc|code
"63335"|"63335,"|"3/4 in. x 50 ft. Commercial Duty Garden Hose"|"61744259"
"32879"|"32879,"|"20 ton H-Frame Industrial Heavy Duty Floor Shop Press"|"61583102"
"62869"|"62869,"|"18 Volt 3/8 in. Cordless Drill/Driver And Flashlight Kit"|"61667089"
"66911"|"66911,"|"Step Stool/Working Platform"|"61651204"
"61163"|"61163,"|"5 in. Multi-Purpose Vise"|"61746157"
"61325"|"61325,"|"9000 lb. Off-Road Vehicle Electric Winch with Automatic Load-Holding Brake"|"61937311"
"68048"|"68048,"|"3 ton Steel Heavy Duty Floor Jack with Rapid Pump"|"61867053"
"63405"|"63405,"|"2 in. 212cc Gasoline Engine Semi-Trash Water Pump - 158 GPM"|"61845224"
"92404"|"92404,"|"Alkaline Batteries"|"61921185"
"63043"|"63043,"|"2/40/200 Amp 6/12V Manual Wheel Charger with Start"|"61853442"
"62463"|"62463,"|"8 Channel Surveillance DVR with 4 Cameras and Mobile Monitoring Capabilities"|"61921632"
"62890"|"62890,"|"3/8 in. x 50 ft. Premium Rubber Air Hose"|"61947173"
"61567"|"61567,"|"36 Piece 2 in. Industrial Grade Chip Brushes"|"61891162"
"61930"|"61930,"|"30 In. x 16 In. Two Shelf Polypropylene Industrial Service Cart"|"61888979"
"63482"|"63482,"|"3 Piece Solar Glass Crackle Ball Pathway Light Set"|"61898229"
"62551"|"62551,"|"2-in-1 Convertible Hand Truck -  800 Lb. / 600 Lb. Capacity"|"61957606"
"7431"|"7431,"|"11 ft. 4 in. x 11 ft. 6 in. Blue All Purpose/Weather Resistant Tarp"|"62001632"
"61245"|"61245,"|"2.5 CFM VACUUM PUMP"|"62004311"
"63436"|"63436,"|"15 Amp 70 Lb. Pro Breaker Hammer"|"61964757"
"93068"|"93068,"|"Wireless Security Alert System"|"62090659"
"62707"|"62707,"|"A/C R134A MANIFOLD GAUGE SET"|"61962164"
"69560"|"69560,"|"13 Pc 1/2 in. Drive SAE Impact Deep Wall Socket Set"|"62004577"
"63371"|"63371,"|"40 in. 300 lb. Capacity Low-Profile Creeper"|"62054503"
"46092"|"46092,"|"Adjustable Shade Auto-Darkening Welding Helmet"|"61978458"
"68019"|"68019,"|"18 Gauge 2-in-1 Air Nailer/Stapler"|"62056055"
"68760"|"68760,"|"2.5 Ton Pallet Jack"|"61980183"
"60536"|"60536,"|"1500 Lb. Capacity ATV/Motorcycle Lift"|"61967402"
"66983"|"66983,"|"500 lb. Steel Cargo Carrier"|"62122497"
"63118"|"63118,"|"10 in., 15 Amp Benchtop Table Saw"|"62083200"
"60614"|"60614,"|"3/8 in. Variable Speed Reversible Drill"|"62151556"
"95553"|"95553,"|"20 ton Air Hydraulic Bottle Jack"|"62138433"
"69591"|"69591,"|"1000 lb. Capacity 9 in. x 72 in. Steel Loading Ramps, Set of Two"|"62070164"
"66581"|"66581,"|"50 In Clamp and Cut Edge Guide"|"61973451"
"65519"|"65519,"|"4-1/2 in. 6 Amp Heavy Duty Paddle Switch Angle Grinder"|"62124743"
"60534"|"60534,"|"12 Pc Assorted Length Elastic Stretch Cords"|"62013989"
"62600"|"62600,"|"7 Pc Pliers Set"|"62023278"
"61705"|"61705,"|"WELDING CABINET"|"62027945"
"63062"|"63062,"|"13 Amp 2-Speed 1/2 in. Heavy Duty Right Angle Drill Kit"|"62085780"
"61689"|"61689,"|"2-in-1 Flooring Air Nailer/Stapler"|"62175711"
"68310"|"68310,"|"Double Garage Screen Door"|"62084111"
"5107"|"5107,"|"30 In. x 16 In. Two Shelf Steel Service Cart"|"61976821"
"96289"|"96289,"|"1500 Watt Dual Temperature Heat Gun 572°/1112°"|"62190654"
"96275"|"96275,"|"Titanium Coated High Speed Steel Step Bit Set 2 Pc"|"62172126"
"93431"|"93431,"|"2 Amp 5 in. Random Orbital Heavy Duty Palm Sander"|"62053810"
"67932"|"67932,"|"1/2 in. Drive 18 in. Breaker Bar"|"62181576"
"68114"|"68114,"|"1 In - 2-1/2 In Carbon Steel Hole Saw Set 11 Pc"|"61977549"
"94458"|"94458,"|"24 Compartment Large Storage Container"|"62188089"
